Front	Back	Tags
FM을 선택할 때 가장 먼저 확인할 것은?	업무 작업과 필요한 입력·출력 모달리티입니다.	AIF-C01::D3::selection
모델 크기와 비용의 관계는?	큰 모델은 품질에 유리할 수 있지만 비용·지연·운영 부담이 커질 수 있어 실제 업무로 비교합니다.	AIF-C01::D3::selection
다국어 지원을 확인해야 하는 이유는?	지원 언어가 있어도 모든 언어·도메인에서 품질이 같다는 뜻은 아니므로 실제 질문으로 평가해야 합니다.	AIF-C01::D3::selection
입력 길이가 중요한 이유는?	컨텍스트 한도·입력 토큰 비용·지연 시간·관련 없는 정보 증가에 영향을 줍니다.	AIF-C01::D3::selection
출력 길이가 중요한 이유는?	답변 잘림·불필요한 출력·출력 비용·지연 시간에 영향을 줍니다.	AIF-C01::D3::selection
프롬프트 캐싱은 언제 검토하나요?	긴 정적 컨텍스트가 여러 요청에서 반복될 때 입력 처리 비용과 지연 감소를 검토합니다.	AIF-C01::D3::optimization
온도는 무엇에 영향을 주나요?	출력의 다양성과 무작위성에 영향을 주지만 사실성을 보장하지는 않습니다.	AIF-C01::D3::inference
RAG란?	외부 자료를 검색해 추론 시점의 모델 컨텍스트로 제공하는 방식입니다.	AIF-C01::D3::rag
RAG와 미세 조정의 차이는?	RAG는 외부 지식을 검색해 넣고 미세 조정은 예시 데이터로 모델 행동을 조정합니다.	AIF-C01::D3::rag
Amazon Bedrock Knowledge Bases의 역할은?	데이터 수집·임베딩·벡터 저장·검색을 포함한 관리형 RAG 구성을 돕습니다.	AIF-C01::D3::aws
OpenSearch Service는 언제 검토하나요?	검색·필터·k-NN 벡터 검색을 함께 운영해야 할 때 검토합니다.	AIF-C01::D3::aws
Aurora·RDS for PostgreSQL은 언제 검토하나요?	기존 관계형 데이터와 벡터 검색을 함께 다룰 때 검토합니다.	AIF-C01::D3::aws
Neptune은 언제 검토하나요?	연결 관계와 지식 그래프 탐색이 핵심인 데이터에서 검토합니다.	AIF-C01::D3::aws
AI 에이전트란?	모델 추론과 도구·외부 시스템 호출을 여러 단계로 조합해 목표를 수행하는 애플리케이션입니다.	AIF-C01::D3::agent
에이전트 도구 호출 전 통제는?	최소 권한·입력 검증·허용 목록·사용자 확인·사람 승인·감사 기록을 검토합니다.	AIF-C01::D3::agent
컨텍스트 내 학습이란?	모델을 훈련하지 않고 프롬프트에 예시를 넣어 작업 방식을 보여 주는 것입니다.	AIF-C01::D3::customization
미세 조정은 언제 검토하나요?	특정 작업·형식·스타일·행동을 반복 학습시켜야 할 때 검토합니다.	AIF-C01::D3::customization
지속적인 사전 훈련이란?	사전 훈련된 모델에 추가 도메인 데이터로 학습을 이어 가는 것입니다.	AIF-C01::D3::customization
명령 튜닝이란?	자연어 지시를 이해하고 따르는 능력을 높이도록 입력 명령과 기대 응답으로 조정하는 것입니다.	AIF-C01::D3::customization
전이 학습이란?	기존 모델의 지식과 표현을 새로운 작업이나 도메인에 재사용하는 접근입니다.	AIF-C01::D3::customization
강화 학습은 무엇을 활용하나요?	보상·선호도·사용자 피드백을 활용해 더 바람직한 결과를 학습합니다.	AIF-C01::D3::customization
모델 증류란?	큰 교사 모델의 능력을 작은 학생 모델로 전달해 빠르고 경제적인 추론을 노리는 방식입니다.	AIF-C01::D3::customization
데이터 큐레이션이란?	학습 자료를 선별·정제·구성하고 오류·중복·편향·대표성을 검토하는 과정입니다.	AIF-C01::D3::data
데이터 대표성이 중요한 이유는?	실제 사용자·언어·업무·예외 사례를 대표하지 못하면 일부 상황 성능이 떨어질 수 있기 때문입니다.	AIF-C01::D3::data
훈련·검증·평가 데이터의 차이는?	훈련은 학습, 검증은 개발 중 비교, 평가는 보지 않은 데이터의 일반화 확인에 사용합니다.	AIF-C01::D3::data
인간 평가란?	사람이 모델 응답의 정확성·관련성·안전성·도움 정도를 판단하는 방식입니다.	AIF-C01::D3::evaluation
벤치마크의 한계는?	고정 과제 비교에는 유용하지만 실제 사용자·도메인·비용·안전 요구를 대표하지 않을 수 있습니다.	AIF-C01::D3::evaluation
ROUGE란?	생성 요약과 참조 요약의 단어·구문 겹침을 비교하는 계열의 지표입니다.	AIF-C01::D3::metrics
BLEU란?	번역 등에서 생성 문장과 참조 문장의 n-그램 겹침을 비교하는 지표입니다.	AIF-C01::D3::metrics
BERTScore란?	임베딩 기반 의미 유사성을 활용해 생성 문장과 참조 문장을 비교하는 지표입니다.	AIF-C01::D3::metrics
LLM-as-a-judge란?	평가자 LLM이 다른 모델의 응답을 기준에 따라 점수화·설명하는 방식입니다.	AIF-C01::D3::evaluation
RAG는 무엇을 나누어 평가하나요?	검색 관련성·완전성·권한·근거성과 최종 생성 답변 품질을 나누어 평가합니다.	AIF-C01::D3::evaluation
에이전트 성능의 핵심은?	도구 선택·입력·승인·실패 처리·실제 작업 완료를 확인합니다.	AIF-C01::D3::evaluation
모델 지표와 비즈니스 지표를 함께 보는 이유는?	모델 점수가 좋아도 생산성·완료율·만족도·비용이 나빠질 수 있기 때문입니다.	AIF-C01::D3::metrics
프롬프트 템플릿이란?	공통 지시와 변수 자리를 정의해 여러 요청에 일관되게 재사용하는 프롬프트 구조입니다.	AIF-C01::D3::prompting
