Front	Back	Tags
토큰이란?	모델이 입력과 출력을 처리하기 위해 나누어 다루는 텍스트 등의 단위입니다.	AIF-C01::D2::concept
토큰 기반 가격이란?	모델과 가격 방식에 따라 입력·출력 토큰 양이 호출 비용에 영향을 주는 방식입니다.	AIF-C01::D2::cost
청킹이란?	긴 문서나 데이터를 검색·처리에 적합한 작은 조각으로 나누는 것입니다.	AIF-C01::D2::rag
임베딩이란?	텍스트나 다른 데이터를 의미를 반영한 숫자 벡터로 표현하는 것입니다.	AIF-C01::D2::rag
벡터 검색의 목적은?	질문과 의미가 가까운 자료를 찾아 모델의 컨텍스트로 제공하는 것입니다.	AIF-C01::D2::rag
프롬프트란?	모델에게 작업·맥락·제약·출력 형식을 전달하는 입력입니다.	AIF-C01::D2::prompt
컨텍스트 엔지니어링이란?	모델이 작업에 필요한 지식과 지시를 사용하도록 입력 컨텍스트 전체를 설계하는 것입니다.	AIF-C01::D2::prompt
Transformer의 역할은?	입력 토큰 사이 관계를 처리해 언어와 콘텐츠 패턴을 학습·생성하는 데 사용됩니다.	AIF-C01::D2::model
LLM이란?	대규모 텍스트 데이터로 학습해 언어 이해와 생성을 수행하는 대규모 언어 모델입니다.	AIF-C01::D2::model
FM이란?	여러 작업의 기반으로 사용할 수 있도록 넓은 데이터로 사전 훈련된 모델입니다.	AIF-C01::D2::model
LLM과 FM의 관계는?	LLM은 언어에 초점을 둔 FM의 한 종류로 볼 수 있습니다.	AIF-C01::D2::model
멀티모달 모델이란?	텍스트·이미지·오디오·비디오 등 둘 이상의 데이터 형식을 다루는 모델입니다.	AIF-C01::D2::model
확산 모델은 무엇에 사용되나요?	노이즈를 점진적으로 제거하는 방식으로 이미지 같은 콘텐츠를 생성하는 데 사용됩니다.	AIF-C01::D2::model
에이전트란?	목표 달성을 위해 모델 추론과 도구·외부 시스템 호출을 여러 단계로 조합하는 애플리케이션입니다.	AIF-C01::D2::agent
도구의 역할은?	모델이 데이터 조회나 API 호출처럼 모델 밖의 행동을 수행하도록 연결합니다.	AIF-C01::D2::agent
메모리의 역할은?	대화나 작업의 관련 상태를 저장·검색해 여러 단계에서 활용하게 합니다.	AIF-C01::D2::agent
오케스트레이션이란?	모델·도구·메모리·작업 단계를 순서와 조건에 따라 조정하는 것입니다.	AIF-C01::D2::agent
RAG의 목적은?	외부 자료를 검색해 모델 컨텍스트로 제공하여 최신성·근거·업무 지식을 보완하는 것입니다.	AIF-C01::D2::rag
환각이란?	모델이 사실이 아닌 내용을 그럴듯하게 생성하는 현상입니다.	AIF-C01::D2::limitation
비결정성이란?	같은 질문도 설정·컨텍스트·상태에 따라 결과가 달라질 수 있는 특성입니다.	AIF-C01::D2::limitation
사람 검토가 필요한 경우는?	잘못된 결과의 영향이 큰 결정이나 근거가 불분명한 답변 등에서 필요할 수 있습니다.	AIF-C01::D2::responsible
모델 선택 조건은?	작업·모달리티·품질·언어·비용·지연 시간·보안·규정 준수·운영 조건입니다.	AIF-C01::D2::selection
Amazon Bedrock의 중심 역할은?	여러 FM을 선택·호출해 GenAI 애플리케이션을 구성하는 관리형 플랫폼입니다.	AIF-C01::D2::aws
Amazon SageMaker AI의 중심 역할은?	모델 개발·훈련·사용자 지정·배포·관리를 폭넓게 지원하는 ML 플랫폼입니다.	AIF-C01::D2::aws
SageMaker JumpStart는 무엇인가요?	사전 훈련 모델을 찾아 실험·사용자 지정·배포를 빠르게 시작하도록 돕는 기능입니다.	AIF-C01::D2::aws
Amazon Q는 무엇인가요?	조직의 업무와 개발 작업을 돕는 생성형 AI 어시스턴트 제품군입니다.	AIF-C01::D2::aws
Strands Agents는 무엇인가요?	에이전트의 행동과 도구 연결을 설계하기 위한 오픈 소스 개발 SDK입니다.	AIF-C01::D2::aws
AgentCore는 무엇인가요?	에이전트의 운영·연결·보호·확장을 지원하는 관리형 기반입니다.	AIF-C01::D2::aws
Provisioned Throughput은 언제 검토하나요?	트래픽이 예측 가능하고 일정한 처리량·지연 시간 계획이 중요할 때 검토합니다.	AIF-C01::D2::cost
리전 선택에서 확인할 것은?	모델·기능 제공 여부, 데이터 처리 위치, 지연 시간, 가격·할당량, 규정 준수입니다.	AIF-C01::D2::architecture
모델 지표와 비즈니스 지표를 함께 보는 이유는?	모델 품질이 좋아도 처리 시간·만족도·비용 같은 업무 목표가 개선되지 않을 수 있기 때문입니다.	AIF-C01::D2::metrics
