Front	Back	Tags
AI와 ML의 관계는?	AI는 넓은 목표이고 ML은 데이터를 통해 패턴을 학습하는 대표적인 AI 접근 방식입니다.	AIF-C01::D1::concept
딥 러닝은 무엇인가요?	여러 층의 신경망을 사용하는 ML 접근 방식입니다.	AIF-C01::D1::concept
GenAI는 어떤 결과를 만드나요?	텍스트·이미지·오디오·비디오 같은 새로운 콘텐츠를 생성합니다.	AIF-C01::D1::concept
훈련과 추론의 차이는?	훈련은 모델이 패턴을 배우는 과정이고 추론은 학습된 모델이 새 입력에 결과를 내는 과정입니다.	AIF-C01::D1::lifecycle
레이블이란?	학습 예시에 붙은 정답 또는 예측 목표입니다.	AIF-C01::D1::data
지도 학습의 핵심 단서는?	입력과 정답 레이블이 함께 제공됩니다.	AIF-C01::D1::learning
비지도 학습의 핵심 단서는?	레이블 없이 데이터의 구조나 비슷한 그룹을 찾습니다.	AIF-C01::D1::learning
강화 학습의 핵심 단서는?	에이전트가 행동을 선택하고 결과의 보상 또는 불이익을 받습니다.	AIF-C01::D1::learning
분류와 회귀의 차이는?	분류는 범주를 예측하고 회귀는 숫자 값을 예측합니다.	AIF-C01::D1::technique
클러스터링이란?	레이블 없이 비슷한 데이터를 그룹으로 묶는 작업입니다.	AIF-C01::D1::technique
음성을 텍스트로 바꾸는 AWS 서비스는?	Amazon Transcribe입니다.	AIF-C01::D1::aws
텍스트를 음성으로 바꾸는 AWS 서비스는?	Amazon Polly입니다.	AIF-C01::D1::aws
텍스트를 다른 언어로 바꾸는 AWS 서비스는?	Amazon Translate입니다.	AIF-C01::D1::aws
ML 수명 주기의 시작은?	비즈니스 문제와 모델이 제공할 결과를 정의하는 것입니다.	AIF-C01::D1::lifecycle
평가 데이터를 따로 두는 이유는?	새로운 입력에 대한 일반화 성능을 공정하게 확인하기 위해서입니다.	AIF-C01::D1::lifecycle
배포 후 필요한 활동은?	운영 모니터링, 성능·데이터 변화 확인, 필요 시 재훈련입니다.	AIF-C01::D1::lifecycle
MLOps의 목적은?	데이터와 모델의 개발·배포·운영을 반복 가능하고 추적 가능하게 만드는 것입니다.	AIF-C01::D1::mlops
모델 지표와 비즈니스 지표를 함께 보는 이유는?	모델 성능이 좋아도 실제 업무 목표가 개선되지 않을 수 있기 때문입니다.	AIF-C01::D1::metrics
AI 문제를 판단하는 순서는?	업무 목표 → 입력 데이터 → 원하는 출력 → 학습 기법 → AWS 서비스 → 제약 조건입니다.	AIF-C01::D1::exam
